CO_ENTIDAD,QT_MAT_FUN
35915026,554
35920459,489
35912712,339
35013596,326
35916304,1016
35917597,767
35901581,628
35917266,780
35901573,258
35902548,675
35121605,17
35905112,454
35013481,443
35917448,858
35922857,494
35047961,399
35901568,725
35925925,412
35035397,895
35901532,737
35013584,256
35013572,194
35046826,195
35042336,392
35013869,722
35013547,391
35013912,344
35013894,306
35013602,257
35047958,971
35901556,671
35013626,274
35013791,395
35013948,176
35919724,435
35921282,535
35047934,275
35013924,317
35039640,678
35042316,769
35013651,513
35037837,866
35919755,594
35013493,373
35013559,541
35001557,496
35013638,447
35917254,321
35045469,431
35919731,621
35047946,367
35013511,527
35013500,402
35013648,316
35045470,439
35037849,602
35013778,971
35497095,315
35905100,170
35035385,319
35905124,416
35271287,775
35069097,699
35084621,671
35271305,861
35078153,991
35581297,553
35281682,816
35227912,1183
35281670,1006
35004243,1143
35074925,1236
35463826,308
35056765,811
35092265,901
35096672,648
35436999,812
35056807,797
35447535,555
35069085,662
35056777,724
35271299,893
35436987,788
35463814,300
35056820,562
35090050,780
35056789,548
35062492,724
35056832,900
35242007,816
35086022,991
35241982,801
35070476,810
35092241,812
35281694,1020
35495300,571
35056790,719
35359981,956
35241994,963
35056844,809
35271457,904
35090136,817
35069048,818
35227900,932
35056819,811
35062480,522
35447547,145
35281700,493
35007525,675
